name,food_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,fit
陳皮紅豆湯圓,29102,1.1328295,-4.9448924,-0.8629958,1.0904,-0.7723133,0.20008172,-1.8125353,-1.6975088,0.38369286,-0.46490237,0.91759986,-1.664712,-1.3124846,0.4667888,1.30681,1.2689011,-0.87345904,0.013778199130671367,4.38598979344302,-0.7301968554177478,1.609648541058632,-1.2263134933069713,1
起司醬佐松子核果義大利麵,29103,-0.17518078,-2.8048823,-0.85192674,0.20344453,-0.2888732,-0.7032228,-0.37008533,-2.118554,2.4141462,-2.099909,1.6297772,0.5252751,-2.5831969,-0.35567716,-0.06608332,2.2559845,1.6622055,-0.6918509216770088,0.10822104606543607,-2.0783997691677984,0.9545732701153774,0.14486170843091048,2
BBQ豬肋排,29104,1.333678,0.017475756,1.2032158,-0.45088643,-0.19619554,-0.84978867,-0.9558612,-1.9283028,2.718457,-2.1352088,2.2860353,0.6244757,-0.6078451,-1.2560215,1.3722779,1.2074511,1.8103478,2.1588671111751108,-1.2038056696778316,-0.8042430945863109,0.120723125762534,2.1576810298025526,3
韓式辣味油醋沙拉,29105,0.09515227,-0.15025163,-0.89615405,-0.3803897,-0.9872337,-0.82237566,-0.3659982,-0.3730291,1.5692905,-2.6887577,0.25223964,0.7470078,-1.2803124,-0.4511416,1.6759146,2.029519,2.558567,1.0538787480011595,-1.0085697299654865,-0.7109159478634091,-1.8968677218684413,0.4329914189162318,3
法式干邑烤布蕾,29106,0.26265144,-0.9824273,1.1554543,-0.8642363,-1.4466745,-1.4924281,-1.8594486,-2.8592544,1.935149,-1.8832054,2.2613466,0.5193629,-1.8531519,-1.2234385,1.3692669,1.5225197,-0.06827898,2.638675903450327,0.029818574724690516,-3.0039413714301406,0.9425673581664561,1.2935876644026123,3
蛤蜊絲瓜豆腐湯,29107,1.445304,-3.9997098,-1.6523625,2.541219,-0.6580759,0.972831,1.3931702,-0.99192446,0.37227917,-0.9690513,1.7053524,-0.29789886,-2.1408293,0.45614195,0.27264476,2.8569975,0.8433623,-2.541100143048362,2.3993093047242104,1.2798150552218406,0.8394515756888807,-0.8990794475614082,1
蟹肉烘蛋,29108,-0.52222425,-1.179071,-0.65801585,-0.18547545,-1.0714,-0.23686875,-0.8753624,-2.209234,0.81292397,-2.3221085,1.1311101,-0.5590952,-0.9252284,0.22889434,-0.3652017,2.1520922,0.79637057,0.7880557080022882,-0.6788218369392205,-1.1810396538762329,1.0319559789173551,-1.483062081113579,3
肉桂焦糖蘋果鬆糕,29109,-0.83634645,-0.7483896,0.7977263,-0.48273048,-1.4109203,-0.97295450000000006,-0.6377037,-2.403643,0.69013923,-1.1054367,1.4216291,0.0389235,-1.2951179,0.2744548,1.5039895,2.345691,-0.19093505,2.394402130243275,-0.040177514274445825,-1.7024501896671111,1.0863175624955264,-0.49471474793124204,3
芒果冰淇淋,29110,0.09260183,-0.7130898,0.20321845,-0.5249008,-2.8052552,-1.7636697,-2.8728747,-1.1860389,-1.039288,-2.4113276,1.5450325,-1.299792,-3.0541744,-0.932988,2.6090798,1.4292847,0.43825957,3.582850254353841,1.525452708366725,-2.7493672686368495,-1.7314553768632102,-0.34078007390912796,3
果醬食譜｜留住夏日酸甜味！手作天然芒果醬,29111,0.53654194,-1.0648471,0.32530636,0.79307085,-1.0341853,-0.8547901,-1.5570805,-0.42372924,0.8968552,-0.37913474,0.37170905,0.12371891,-1.8955142,-0.22031702,2.583126,0.9355909,-0.21782565,2.5571243405129347,2.5873776183520114,-0.6982720015763169,-0.4394093559155715,0.7011446939383787,1
芒果優酪奶,29112,0.24186221,-1.4247204,1.1715579,-0.6202809,-1.1653073,-1.4406424,-1.5213575,-1.2111604,0.26631138,-1.5762017,1.5518959,-1.1683846,-2.1649265,0.10864368,2.0672402,1.136162,1.1006148,3.1238943538455164,1.1513271303021826,-1.4969188409534349,-0.26775631597748867,0.01294760246677601,3
芒果西米露,29113,1.3096757,-3.1555696,-0.28268918,0.5744853,-1.1107252,-1.6703304,-2.4371188,-1.087349,0.4665693,-1.791074,0.40850148,-0.67055434,-2.1608589,0.6156147,2.1058776,1.7442776,-0.74472725,1.3750708224861663,3.650053595375564,-1.916127414952606,0.1328341092336417,-0.11647245638758183,1
鳳梨糖醋魚片,29114,1.4992975,-1.0583369,-1.0800635,1.1037877,-0.44412488,-0.4806277,1.772038,-0.6738539,0.97267956,-3.5001893,0.63181525,-1.0682726,-0.14685172,-1.7385495,1.0186635,2.7172077,3.2034614,-1.4950735779375777,-1.6351703023996231,1.1639003294000188,-1.5752247670087893,1.035496554703259,2
辣味番茄鮮蝦麵,29115,0.350114,-2.5840182,-1.979799,0.7926368,-0.49214303,-0.78342426,0.6458761,-1.8955623,2.3772395,-2.4158006,1.4027226,-0.25664172,-2.1876775999999998,-0.73731506,-0.4493917,2.9600763,1.6729454,-2.0419719409318433,-0.4054401686048536,-1.1896462989682222,0.8091039134137737,0.4174610730157703,2
醬油辣椒松阪豬麵,29116,0.13848561,-1.743876,-2.0441658,1.5820944,-0.43439072,-0.80604154,0.25647137,-1.4137849,2.6124763,-2.7312372,1.8053652,-0.3054251,-0.7045909,-1.8234984,-0.28412932,3.5104243999999998,1.6626865,-2.5458050544157476,-1.227528223849538,-0.8989097773852271,0.06266290569402005,0.8691210598219482,2
柚子胡椒蛤蜊麵,29117,-0.12855317,-2.6657612,-1.974359,0.9715968,-0.6855794,0.64123255,0.49465895,-1.7362692,2.273904,-1.7891119,0.68194324,0.87189114,-2.014713,-1.2929841,-1.0565486,2.601753,1.1896168,-2.144107592364669,-0.08450216129003571,-0.8806431817150926,1.014587163462076,-0.16792835743323986,2
醋味野菇寬扁麵,29118,0.1404024,-1.2307899,-1.8879292,1.0261009,-0.38250557,0.046360664,0.01432482,-1.7563492,1.6771225,-2.0526721,0.8527217,0.3205982,-1.8076098,-1.6749846,-0.008038705,2.834539,1.2408378,-1.242497747496012,-0.46544493967191486,-0.7961159092779219,0.3433713464812383,0.38971080847910783,2
海苔玉子燒,29119,-0.5481845,-0.099818625,-0.51222056,-0.040052935,-1.6208894,0.7670649,-1.3110464,-1.979485,0.10631861,-1.5027674,1.3206128,-0.5694462,-0.5529683,0.5097374,-0.6706514,2.3913403,1.8034418,1.5940931279686936,-1.2900692517137076,0.10723275370338661,0.4438954311701287,-2.411859436276554,3
腰果鮮蔬雞丁,29120,0.627174,-1.5807912,-1.6239916,0.9206689,-1.1803819,1.0025568,0.073239535,-0.07543092,0.46434304,-2.7556808,1.4171861,0.46343037,-0.42896026,-1.8653634,1.3059887,2.6555226,2.6696236,-1.2275976798893102,-0.4840995504834944,0.5252867705752609,-2.2687649190235923,-0.22975696707772547,1
鮮菇糖醋魚片,29121,0.16905543,-1.2203189,-1.6326902,1.309472,-0.9911645,-0.5136831,-0.09103901,-0.30016354,1.9887968,-3.6110725,2.4535637,1.0692503,-0.7184846,-1.4093977,1.2113047,2.4286184,2.7868886,-1.4581617466414758,-1.1862333801284157,-0.8654926570326414,-2.3112386829177796,0.6205933739829339,1
鳳梨肉燥黃瓜盅,29122,0.8220744,0.05343079,-0.80598176,0.4873304,-1.2517923,0.30588624,-0.8061282,-0.10532941,-0.21670377,-1.3898032,-0.0012017658,0.6304528,-1.6135576,-0.44461206,2.1684992,1.593396,1.5947313,1.866965338672412,0.8555889221961107,0.6084166621383293,-1.9041809051891143,-0.22675066310482164,1
香料干白酒燴煮肋條,29123,0.5429995,-3.4065852,-1.2869496,1.2180352,1.0815927,0.30003609999999997,0.57298213,-1.7274352,1.7341874,-1.8385838,1.6398054,0.6835484,-2.5825899,-0.8883864,-0.21155033,2.8814688,-1.1935049,-2.2739174868640264,1.8108671984425466,-1.1841001595532243,2.6722655287627077,0.5434056632845203,1
炙燒無骨牛小排酸甜醬,29124,0.95413166,0.07889731,-0.23030025,-0.3336073,-0.14104083,-0.53475565,0.62726223,-1.1076479,3.0846016,-1.5293511,2.1318119,-0.12648827,-0.1994695,-0.57048476,-1.0792683,3.2866259,1.0749489,0.022032744705323355,-2.2705228655467877,0.6225399377822433,1.658210050398822,1.4081717122202928,3
味噌野菜燉豬肉,29125,0.61126745,-2.9471989,-1.2851379,0.5294838,1.1592095,0.32587865,0.36007047,-1.4472837,1.7660253,-3.1953692,1.9726893,0.042445213,-1.2173471,-1.859519,0.7168477,3.791517,1.6506834,-2.609529856237858,-0.36829607423105354,-0.8963453400895317,0.489538970135992,0.7571196009258749,2
日式煙燻風牛肉漢堡排,29126,-0.48128465,1.1285771,0.69703823,-1.0631175,0.06385652,0.23633707,-0.61863154,-1.1952221,0.9352189,-1.6140665,1.8675674,-0.08387496,-0.57088345,-0.42990717,1.2898115000000001,1.4646702,1.5876402,2.9171495234072737,-1.6824996120892866,-0.04301496780200277,0.13341977010026057,-0.00834036054941402,3
白灼沙朗薄片捲綠金針,29127,1.8305745,0.104287416,-0.8342346,0.5750633,-0.033948634,1.5137155,0.56099916,-0.3926283,0.49491704,-1.1755702,1.9024264,-0.08520964,-1.1560698,1.1275634,0.07842183,2.2057166,2.1133673,0.6974375049623139,-0.3525877058056926,2.7990035481642486,0.27462262840521934,-0.7135560142292798,3
啤酒燉牛梅花肉,29128,0.9226395,-1.5889863,-1.3507335,1.9135488,0.99317914,-0.19086108,0.6269404,-0.56869906,2.0167694,-1.3585994,2.792508,-0.14445706,-1.6622618,-1.2600945,1.0612407,2.7341483,0.52001315,-1.5989292671937212,0.7794027546110704,0.2714506273939863,0.7152086491537131,1.6319963172169023,2
沙茶牛肉,29129,-0.51927376,-2.841425,-3.025259,1.6314006,-0.4773252,0.4220486,0.86138827,-0.5652608,1.3909701,-3.4485347,2.4594634,-0.37696204,-0.10081645,-1.7352723,-0.46786308,3.1657646,1.0852088,-3.821726517486648,-0.7508345164681515,-0.5321092846246298,-0.23997216298568175,-0.6879480197397772,2
鮪魚蛋包飯,29130,-0.9913939,-1.7391781,-1.6937227,-0.7901408,-0.32911196,0.7406292,-0.3666674,-2.2103014,1.4617468,-2.8612525,1.2186986,0.42963418,-0.60601836,0.32244554,-0.0066567482,3.018077,1.6400242,-0.6595624148661778,-1.468756891167196,-1.270405088616087,0.7450032664841095,-1.8165733153147825,3
